replicate	window	start_ps	end_ps	width_ps	R2	mean_local_alpha	window_loglog_alpha	minimum_origins	eligible	failure_reasons	normalized_violation_score	D_excluded_from_closest_rule
rep06	3-5 ns	3000.0	5000.0	2000.0	0.9944062748735876	1.3144809173309058	1.4818407238751654	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	4.381157451164138	TRUE
rep06	3.5-5 ns	3500.0	5000.0	1500.0	0.9891822151331383	1.2571706104988092	1.3743959025359271	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.36948602068488	TRUE
rep07	0.5-2 ns	500.0	2000.0	1500.0	0.9868302132349834	1.2122919203647906	1.2049712496696636	800	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	2.243359198852453	TRUE
rep07	0.5-2.5 ns	500.0	2500.0	2000.0	0.9931856376871399	1.2055608474292698	1.231476912251458	750	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.7247038936030148	TRUE
rep07	0.5-3 ns	500.0	3000.0	2500.0	0.9962495024170367	1.1935540520712424	1.230705293308594	700	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.6073653709668592	TRUE
rep07	0.5-3.5 ns	500.0	3500.0	3000.0	0.9976012439973216	1.167025488186257	1.2268403115438562	650	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.4346038024189305	TRUE
rep07	0.5-4 ns	500.0	4000.0	3500.0	0.9984220417166582	1.1223603266522173	1.21883846314812	600	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.2092379638185735	TRUE
rep07	0.5-4.5 ns	500.0	4500.0	4000.0	0.9966974373464869	1.0684326089785159	1.1982900308745472	550	FALSE	FAIL_LOGLOG_ALPHA_HIGH	0.9829003087454713	TRUE
rep07	0.5-5 ns	500.0	5000.0	4500.0	0.9916794503842995	1.0109918286604564	1.1698121929284615	500	FALSE	FAIL_R2;FAIL_LOGLOG_ALPHA_HIGH	0.963543573566458	TRUE
rep07	1-2.5 ns	1000.0	2500.0	1500.0	0.9991676740676948	1.2811059322393115	1.3457724749386575	750	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.052924305149786	TRUE
rep07	1-3 ns	1000.0	3000.0	2000.0	0.999289214967403	1.2472166374641211	1.2952424492314492	700	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	2.4452474788482537	TRUE
rep07	1-3.5 ns	1000.0	3500.0	2500.0	0.9996054860651823	1.2046530507281328	1.2663464352573734	650	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.9652836321900364	TRUE
rep07	1-4 ns	1000.0	4000.0	3000.0	0.9996573054602595	1.1462747207095212	1.2414479341842248	600	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.4882495711986266	TRUE
rep07	1-4.5 ns	1000.0	4500.0	3500.0	0.9957885345259015	1.081228289747575	1.2017022906184878	550	FALSE	FAIL_LOGLOG_ALPHA_HIGH	1.0170229061848768	TRUE
rep07	1-5 ns	1000.0	5000.0	4000.0	0.9883707145720174	1.0150090491011667	1.1548324438227298	500	FALSE	FAIL_R2;FAIL_LOGLOG_ALPHA_HIGH	1.4347671243040687	TRUE
rep07	1.5-3 ns	1500.0	3000.0	1500.0	0.9992541843530227	1.2176422983777926	1.2001829011690743	700	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.5451965588319843	TRUE
rep07	1.5-3.5 ns	1500.0	3500.0	2000.0	0.9995833535615732	1.1718322113544613	1.1873020654860806	650	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	1.1305537238985095	TRUE
rep07	1.5-4 ns	1500.0	4000.0	2500.0	0.9996485111391664	1.1083434053020682	1.1708021240360291	600	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	0.7129202746484222	TRUE
rep07	1.5-4.5 ns	1500.0	4500.0	3000.0	0.9942313586575591	1.0387785414865154	1.1255704042011214	550	FALSE	FAIL_R2;FAIL_LOGLOG_ALPHA_HIGH	0.2983570639908627	TRUE
rep07	1.5-5 ns	1500.0	5000.0	3500.0	0.9851155423454241	0.9691641440931641	1.070267601412613	500	FALSE	FAIL_R2	1.9768915309151813	TRUE
rep07	2-3.5 ns	2000.0	3500.0	1500.0	0.9991564651618209	1.1217787504041206	1.1550502260344362	650	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	0.592017006141503	TRUE
rep07	2-4 ns	2000.0	4000.0	2000.0	0.9993777487365043	1.0549319475754089	1.1408369141875394	600	FALSE	FAIL_LOGLOG_ALPHA_HIGH	0.4083691418753932	TRUE
rep07	2-4.5 ns	2000.0	4500.0	2500.0	0.9909772487249565	0.9821370485491193	1.0779385767718188	550	FALSE	FAIL_R2	0.8045502550086958	TRUE
rep07	2-5 ns	2000.0	5000.0	3000.0	0.9797073440195407	0.9103608607115163	1.0063686877345468	500	FALSE	FAIL_R2	3.0585311960918515	TRUE
rep07	2.5-4 ns	2500.0	4000.0	1500.0	0.9986804409850346	1.0114493071894626	1.1392950446159138	600	FALSE	FAIL_LOGLOG_ALPHA_HIGH	0.3929504461591371	TRUE
rep07	2.5-4.5 ns	2500.0	4500.0	2000.0	0.9839274396506879	0.931328175061363	1.0337355312176113	550	FALSE	FAIL_R2	2.2145120698624288	TRUE
rep07	2.5-5 ns	2500.0	5000.0	2500.0	0.970955367567138	0.8553593628786595	0.936781086944155	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW	4.829601702161116	TRUE
rep07	3-4.5 ns	3000.0	4500.0	1500.0	0.9739729077170415	0.8599392774903536	0.9248092714129558	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW	4.224456242386898	TRUE
rep07	3-5 ns	3000.0	5000.0	2000.0	0.9655522638731442	0.7828257728278467	0.8143259170128322	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	6.065785301243813	TRUE
rep07	3.5-5 ns	3500.0	5000.0	1500.0	0.9748867761020117	0.6989560472359907	0.6519554208728573	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	5.13577155260611	TRUE
rep08	0.5-2 ns	500.0	2000.0	1500.0	0.9851115301079911	0.7356726402374283	0.7911883317378751	800	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	2.792063664005367	TRUE
