point_id	atom_id	atom_name	atom_type	x_nm	y_nm	z_nm	source_file	source_sha256
T_CC_090	15	C2	CG312	4.857003162	5.025643396	5.006765618	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	16	C3	CG312	5.097936702	5.009658496	4.884075272	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_090	17	C4	CG302	5.179727130	4.906113273	4.964792683	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_090.g96	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4
T_CC_120	1	S1	SG3O1	4.831394915	5.032143474	5.183380229	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	2	F1	FGA2	4.951026001	5.163052656	4.841692185	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	3	F2	FGA2	5.050234780	5.159295246	5.037560006	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	4	F3	FGA2	4.756183132	5.048628160	4.929134403	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	5	F4	FGA2	4.878538128	4.872775438	4.975640503	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	6	F5	FGA2	5.051168160	4.916216989	4.781971383	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	7	F6	FGA2	5.191322331	5.081368835	4.822969043	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	8	F7	FGA3	5.122214360	4.808434081	5.034252241	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	9	F8	FGA3	5.284140680	4.845182233	4.893267598	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	10	F9	FGA3	5.255277318	4.979338872	5.063356017	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	11	O1	OG2P1	4.808914309	5.178334016	5.191643638	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	12	O2	OG2P1	4.712255547	4.946942199	5.204675024	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
T_CC_120	13	O3	OG2P1	4.958327726	4.981797824	5.241778828	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_120.g96	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8
