observable_id	kind	source_id	J_h_raw__CC_FOURIER_1	J_h_raw__CC_FOURIER_2	J_h_raw__CC_FOURIER_3	J_h_raw__CC_FOURIER_4
PES|T_CC_210	profile_energy	T_CC_210	-0.37803319387308854	0.32642063246653863	0.23914329833413017	0.23888751805090647
PES|T_CC_240	profile_energy	T_CC_240	-0.2809791656106597	0.23897399115798468	4.429391252891435e-05	0.4780156205903552
PES|T_CC_270	profile_energy	T_CC_270	-0.11826838799354977	0.1194492291204563	-0.11912381765057489	0.2385177463671173
PES|T_CC_330	profile_energy	T_CC_330	0.07659679064412117	-0.08756381925908663	0.2392348144574541	0.23848370412284936
PES|T_CS_000	profile_energy	T_CS_000	-0.04962011707576153	0.0514611270936971	-0.08079865481596116	0.05745399272822915
PES|T_CS_010	profile_energy	T_CS_010	-0.06358522933795463	0.06494129703990659	-0.09465471571939332	0.08703183174594287
PES|T_CS_020	profile_energy	T_CS_020	-0.0730728539041614	0.07420180713431535	-0.1022835419741952	0.10942692900335338
PES|T_CS_030	profile_energy	T_CS_030	-0.045707610702678814	0.05002332807241938	-0.07910673229206466	0.054169743636456325
PES|T_CS_040	profile_energy	T_CS_040	-0.02286689040392087	0.02727994663719091	-0.04842840394837289	0.017207339424007984
PES|T_CS_050	profile_energy	T_CS_050	-0.015286774844647244	0.01887327282863449	-0.0349472564842257	0.008644612141495145
PES|T_CS_060	profile_energy	T_CS_060	-0.010375090056166658	0.013028644040392057	-0.024634744043977586	0.0038711182062611815
PES|T_CS_070	profile_energy	T_CS_070	-0.007461664243546863	0.00946250007289675	-0.01828630685946464	0.0021528523123804516
PES|T_CS_080	profile_energy	T_CS_080	-0.008180436431644289	0.009948170854445493	-0.019241929175430328	0.0024119853250487155
PES|T_CS_090	profile_energy	T_CS_090	-0.01285809137069771	0.014780403152485633	-0.027890590810226712	0.005203955676391647
PES|T_CS_100	profile_energy	T_CS_100	-0.021399592817878954	0.02364899859344849	-0.042518384968932565	0.012947336537982856
PES|T_CS_110	profile_energy	T_CS_110	-0.033314942202435915	0.03567278722873102	-0.06075149143642378	0.028634523362813802
PES|T_CS_120	profile_energy	T_CS_120	-0.04776073625119892	0.049973171938333394	-0.07917220258843116	0.05404995444551197
PES|T_CC_300_ANCHOR_ZERO	profile_anchor	T_CC_300	0.0	0.0	0.0	0.0
AB_ENERGY|GEO_B_REVISED-GEO_A	AB_energy	GEO_B_REVISED-GEO_A	-0.3928646597191676	0.3449222085217496	0.3598682623709326	0.03578549619981386
