observable_id	kind	source_id	J_h_normalized__CC_FOURIER_1	J_h_normalized__CC_FOURIER_2	J_h_normalized__CC_FOURIER_3	J_h_normalized__CC_FOURIER_4
BOND|B|S1-C2	bond	GEO_B_REVISED	-0.002396853947317626	0.003969884383869502	0.0038439031828202182	0.0003212166423726045
BOND|B|F1-C1	bond	GEO_B_REVISED	0.00021578604100239764	0.00035219592224827197	-6.482594873492996e-05	4.939082623143399e-05
BOND|B|F2-C1	bond	GEO_B_REVISED	0.00022733458148985138	0.00010543489256528062	-3.063965888231976e-05	4.89331697566271e-05
BOND|B|F3-C2	bond	GEO_B_REVISED	-0.00012576106917370472	0.00020391602914803365	7.850356080932186e-05	5.038618477058356e-06
BOND|B|F4-C2	bond	GEO_B_REVISED	0.00011151214954275413	0.00012215599318005075	-0.000267578294033635	0.00010178105265427946
BOND|B|F5-C3	bond	GEO_B_REVISED	-4.942193666883923e-06	-8.455092080209962e-05	-1.7956992433255027e-05	-4.327971646917566e-06
BOND|B|F6-C3	bond	GEO_B_REVISED	-0.00036033840360984447	0.00029061229145906943	0.0003188135334669235	2.030328431672792e-05
BOND|B|F7-C4	bond	GEO_B_REVISED	-0.0003141466303161206	5.11956905325972e-05	-3.7258784121901003e-05	0.00016031330634099164
BOND|B|F8-C4	bond	GEO_B_REVISED	-0.0005264913745850366	-0.0004338833578625343	-0.00028611262856239206	7.267232401655634e-06
BOND|B|F9-C4	bond	GEO_B_REVISED	3.991586154697894e-05	0.0003221493738874469	0.000335303230887771	1.7435341642826586e-05
BOND|B|C1-C2	bond	GEO_B_REVISED	0.0007413929259260259	0.0006836310576129892	0.0009233423122856658	-3.5086154469528866e-05
BOND|B|C1-C3	bond	GEO_B_REVISED	-0.0028649020653042506	0.0004547539775368668	0.00070089618929894	-0.00012869285928990607
BOND|B|C3-C4	bond	GEO_B_REVISED	-0.002740003873868029	0.0007200747132369213	0.0011469440094976444	-4.002948845876862e-05
ANGLE|B|S1-C2-F3	angle	GEO_B_REVISED	0.001479175062488833	-0.0008492560682524492	-0.0011528522480865194	0.00028418070924534716
ANGLE|B|S1-C2-F4	angle	GEO_B_REVISED	-0.002531930572593786	0.002576716510795849	0.002868233274092955	8.557815160497518e-05
ANGLE|B|S1-C2-C1	angle	GEO_B_REVISED	0.001111884406982633	-0.0028888772467024317	-0.0024157887565627173	-0.0006074327652694002
ANGLE|B|F1-C1-F2	angle	GEO_B_REVISED	-0.003095682143720676	-0.00023304758976176	-8.51232355093405e-05	2.169508189978063e-05
ANGLE|B|F1-C1-C2	angle	GEO_B_REVISED	-0.0018362213425474117	-0.0001178230802127195	-0.00016970708103764226	0.00013092012076411748
ANGLE|B|F1-C1-C3	angle	GEO_B_REVISED	0.001354034621701122	0.0005328064638713417	0.0002706719500466813	0.0002833655368624626
