observable_id	source_id	kind	variable_id	J_h_normalized	J_2h_normalized	J_tight_normalized	E_normalized	R_step	R_step_limit	R_conv	R_conv_limit	signal	uncertainty	finite_difference_status
ANGLE|A|F1-C1-F2	GEO_A	angle	CC_FOURIER_1	0.00096493147303434567	0.0015667342990028244	0.0012556251223495441	0.00089755663571616047	0.38411288139380539	0.10	0.23151308789620922	0.05	0.00096493147303434567	0.00089755663571616047	REVIEW
ANGLE|A|F1-C1-F2	GEO_A	angle	CC_FOURIER_2	0.00047416327187036129	0.00020839290606135041	0.00027156565930471047	0.0004724684516373558	0.56050390567085906	0.10	0.427273946728295	0.05	0.00047416327187036129	0.0004724684516373558	REVIEW
ANGLE|A|F1-C1-F2	GEO_A	angle	CC_FOURIER_3	1.0538499023093025e-06	6.6227694479170245e-05	-0.0002247967263931975	0.00029433969148198784		0.10		0.05	1.0538499023093025e-06	0.00029433969148198784	UNIDENTIFIABLE
ANGLE|A|F1-C1-F2	GEO_A	angle	CC_FOURIER_4	-0.00010719053047802282	1.055296305258921e-05	-1.6754714185378594e-05	0.00021057852080524477		0.10		0.05	0.00010719053047802282	0.00021057852080524477	UNIDENTIFIABLE
ANGLE|A|F1-C1-C2	GEO_A	angle	CC_FOURIER_1	0.0017117911580923637	0.0017322374521911276	0.0016433867247107761	9.1826084516997877e-05	0.011803401475300724	0.10	0.039960735314124474	0.05	0.0017117911580923637	9.1826084516997877e-05	PASS
ANGLE|A|F1-C1-C2	GEO_A	angle	CC_FOURIER_2	-0.0021301863324643417	-0.0017302908087139894	-0.0019905783539225729	0.00054191457405293117	0.18772795490041777	0.10	0.065537918638441828	0.05	0.0021301863324643417	0.00054191457405293117	REVIEW
ANGLE|A|F1-C1-C2	GEO_A	angle	CC_FOURIER_3	0.0010430310595442209	0.001498370846125741	0.0015709319123976431	0.00098519001323829321	0.30388991334079163	0.10	0.33604311471890003	0.05	0.0010430310595442209	0.00098519001323829321	REVIEW
ANGLE|A|F1-C1-C2	GEO_A	angle	CC_FOURIER_4	-0.00027629790362823756	-0.00018521314835960787	-1.4565828743445363e-05	0.00035422756013230272		0.10		0.05	0.00027629790362823756	0.00035422756013230272	UNIDENTIFIABLE
ANGLE|A|F1-C1-C3	GEO_A	angle	CC_FOURIER_1	-0.0017308586791537342	-0.0025407225876585	-0.00206730781371549	0.0011492517493033811	0.31875337844385715	0.10	0.16274747878840023	0.05	0.0017308586791537342	0.0011492517493033811	REVIEW
ANGLE|A|F1-C1-C3	GEO_A	angle	CC_FOURIER_2	-0.0012173524211838672	-0.00067215125554467305	-0.0011351405558665498	0.00062979439755070582	0.44785811910489287	0.10	0.067533332079273214	0.05	0.0012173524211838672	0.00062979439755070582	REVIEW
ANGLE|A|F1-C1-C3	GEO_A	angle	CC_FOURIER_3	0.00037018313286223977	0.00051028390073894192	0.00084391221137962175	0.00061575520841383323		0.10		0.05	0.00037018313286223977	0.00061575520841383323	UNIDENTIFIABLE
ANGLE|A|F1-C1-C3	GEO_A	angle	CC_FOURIER_4	-0.00016177034669229314	-0.00015654991457708065	-3.655211768272086e-05	0.00013183201258132714	0.032270636874769054	0.10	0.77404933332900983	0.05	0.00016177034669229314	0.00013183201258132714	REVIEW
ANGLE|A|F2-C1-C2	GEO_A	angle	CC_FOURIER_1	0.0015254361387211043	0.0011441823257220163	0.0011520886077012757	0.00075757366042904098	0.24993102190349556	0.10	0.24474805699361221	0.05	0.0015254361387211043	0.00075757366042904098	REVIEW
ANGLE|A|F2-C1-C2	GEO_A	angle	CC_FOURIER_2	0.00074681214760129481	0.00087935762760680191	0.0006897508169122897	0.00019201541896256472	0.15072989173498566	0.10	0.076406537939000957	0.05	0.00074681214760129481	0.00019201541896256472	REVIEW
ANGLE|A|F2-C1-C2	GEO_A	angle	CC_FOURIER_3	-0.0010392208149807612	-0.00094292328174456856	-0.00055006597787866571	0.0005873997502892686	0.092663206748774957	0.10	0.47069384104970136	0.05	0.0010392208149807612	0.0005873997502892686	REVIEW
ANGLE|A|F2-C1-C2	GEO_A	angle	CC_FOURIER_4	4.5630025542641226e-05	-3.2774020684175125e-05	1.2806849666881169e-05	0.00011263651070576187		0.10		0.05	4.5630025542641226e-05	0.00011263651070576187	UNIDENTIFIABLE
