observable_id	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	rounding_bound_h_raw	rounding_bound_2h_raw	rounding_bound_tight_raw	step_disagreement_raw	convergence_disagreement_raw
PES|T_CC_210	CC_FOURIER_4	0.23888751805090647	0.23892495371952704	0.23886093891013482	1.2137265085123684e-11	6.06863266248635e-12	1.213726427951064e-11	3.74356686205779e-05	2.657914077164314e-05
PES|T_CC_240	CC_FOURIER_4	0.4780156205903552	0.47813921475262644	0.4780098270494859	1.295973748969689e-11	6.479868086393999e-12	1.2959738465700212e-11	0.00012359416227125664	5.793540869269975e-06
PES|T_CC_270	CC_FOURIER_4	0.2385177463671173	0.23839486733389093	0.238881565846083	1.2730738653274762e-11	6.365369481067664e-12	1.2730737058816227e-11	0.00012287903322638627	0.0003638194789656879
PES|T_CC_330	CC_FOURIER_4	0.23848370412284936	0.23886387427403122	0.23869385651886788	1.3475032393945432e-11	6.737515961167895e-12	1.3475033346175337e-11	0.0003801701511818578	0.00021015239601851476
PES|T_CS_000	CC_FOURIER_4	0.05745399272822915	0.05733835607073523	0.05739188132767303	1.3452906758811259e-11	6.72645292825399e-12	1.3452907528792363e-11	0.00011563665749392271	6.211140055611963e-05
PES|T_CS_010	CC_FOURIER_4	0.08703183174594287	0.08718945115020471	0.0869943568774012	1.3562116814139136e-11	6.781058631029827e-12	1.3562117855505193e-11	0.00015761940426184395	3.747486854166482e-05
PES|T_CS_020	CC_FOURIER_4	0.10942692900335338	0.10970538778083405	0.10976499170052278	1.3457822272957796e-11	6.728910939094534e-12	1.345782281650038e-11	0.0002784587774806724	0.0003380626971694056
PES|T_CS_030	CC_FOURIER_4	0.054169743636456325	0.05420077527784617	0.054107895847277376	1.3186258911853672e-11	6.593129702853981e-12	1.3186260007624015e-11	3.103164138984482e-05	6.184778917894818e-05
PES|T_CS_040	CC_FOURIER_4	0.017207339424007984	0.01743132584248741	0.017326309602072598	1.276202170598883e-11	6.381010149155769e-12	1.2762021027173995e-11	0.00022398641847942713	0.00011897017806461463
PES|T_CS_050	CC_FOURIER_4	0.008644612141495145	0.0084042544425178	0.008491146582212394	1.2349121322259574e-11	6.174561080120389e-12	1.2349122153112485e-11	0.00024035769897734482	0.00015346555928275052
PES|T_CS_060	CC_FOURIER_4	0.0038711182062611815	0.0041564922532266735	0.0040853054373818365	1.2127922490823391e-11	6.063961245411696e-12	1.2127922490823391e-11	0.00028537404696549196	0.00021418723112065496
PES|T_CS_070	CC_FOURIER_4	0.0021528523123804516	0.0023471829857791594	0.0022269321343212564	1.2127922490823391e-11	6.063961245411696e-12	1.2127922490823391e-11	0.00019433067339870783	7.407982194080481e-05
PES|T_CS_080	CC_FOURIER_4	0.0024119853250487155	0.0026254395195983438	0.002467633215821885	1.2127922490823391e-11	6.063961245411696e-12	1.2127922490823391e-11	0.00021345419454962822	5.564789077316945e-05
PES|T_CS_090	CC_FOURIER_4	0.005203955676391647	0.005411814292544115	0.0053593770853233025	1.232561307614794e-11	6.162806296984051e-12	1.2325613530692757e-11	0.0002078586161524676	0.00015542140893165524
PES|T_CS_100	CC_FOURIER_4	0.012947336537982856	0.013087703026404274	0.013135243242112793	1.2731066882301021e-11	6.365533721106303e-12	1.2731067362612078e-11	0.0001403664884214173	0.00018790670412993649
PES|T_CS_110	CC_FOURIER_4	0.028634523362813802	0.028963559085204427	0.028863856112559816	1.3145124856397818e-11	6.572561595064149e-12	1.3145125244229607e-11	0.00032903572239062484	0.00022933274974601403
PES|T_CS_120	CC_FOURIER_4	0.05404995444551197	0.05421222531967196	0.05404727318953917	1.345069569031736e-11	6.7253468686191276e-12	1.3450695934059986e-11	0.00016227087415998653	2.6812559728028873e-06
PES|T_CC_300_ANCHOR_ZERO	CC_FOURIER_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB_ENERGY|GEO_B_REVISED-GEO_A	CC_FOURIER_4	0.03578549619981386	0.03571257606656553	0.035386040463669666	1.251120050987003e-11	6.25559922895358e-12	1.2511204166384168e-11	7.292013324833313e-05	0.00039945573614419416
