observable_id	new_primary_base	v2_primary_base	v2_tight_base	absolute_difference	compatibility_envelope	status
ANGLE|B|S1-C2-C1	111.80190651053535	111.80190651053535	111.80682306331738	0.0	0.004916552782049955	PASS
ANGLE|B|F1-C1-F2	102.70202416567506	102.70202416567506	102.70227903122324	0.0	0.0002548655482009896	PASS
ANGLE|B|F1-C1-C2	112.65666958417772	112.65666958417772	112.65737058323057	0.0	0.0007009990528680353	PASS
ANGLE|B|F1-C1-C3	105.0367383434311	105.0367383434311	105.03328550247741	0.0	0.0034528409537896996	PASS
ANGLE|B|F2-C1-C2	111.17056353787636	111.17056353787636	111.16983035069283	0.0	0.0007331871835426616	PASS
ANGLE|B|F2-C1-C3	109.12687368737325	109.12687368737325	109.1315057182573	0.0	0.004632030884113506	PASS
ANGLE|B|F3-C2-F4	103.52499335629327	103.52499335629327	103.52608734372308	0.0	0.0010939874298267047	PASS
ANGLE|B|F3-C2-C1	113.08440161557759	113.08440161557759	113.08103095817769	0.0	0.0033706573999133915	PASS
ANGLE|B|F4-C2-C1	112.6102626789482	112.6102626789482	112.60972675737912	0.0	0.0005359215691866654	PASS
ANGLE|B|F5-C3-F6	102.56061561913172	102.56061561913172	102.56074213036746	0.0	0.0001265112357494833	PASS
ANGLE|B|F5-C3-C1	112.18046668416922	112.18046668416922	112.17761752145249	0.0	0.002849162716743415	PASS
ANGLE|B|F5-C3-C4	108.88450536997466	108.88450536997466	108.8830267553016	0.0	0.001478614673121429	PASS
ANGLE|B|F6-C3-C1	108.85467784544596	108.85467784544596	108.85498687058382	0.0	0.00030902513786735896	PASS
ANGLE|B|F6-C3-C4	106.78029626609438	106.78029626609438	106.78288207889217	0.0	0.0025858127978047995	PASS
ANGLE|B|F7-C4-F8	103.05229225797002	103.05229225797002	103.05061179515793	0.0	0.0016804628121044449	PASS
ANGLE|B|F7-C4-F9	104.06030375694698	104.06030375694698	104.06068748662037	0.0	0.0003837296734027338	PASS
ANGLE|B|F7-C4-C3	115.82406662584152	115.82406662584152	115.82095225650816	0.0	0.0031143693333754007	PASS
ANGLE|B|F8-C4-F9	103.51206861482416	103.51206861482416	103.51270887309204	0.0	0.0006402582678938349	PASS
