geometry	class	unit	term	qm	baseline	candidate	baseline_minus_qm	candidate_minus_qm	candidate_minus_baseline	abs_error_change
GEO_B_REVISED_10nm	angles	degree	F3-C2-F4	107.21219794496402	103.53372192727251	104.13293041396284	-3.6784760176915086	-3.079267531001179	0.5992084866903298	-0.5992084866903298
GEO_B_REVISED_10nm	angles	degree	F3-C2-C1	107.32580921305703	113.10837497591672	114.50635342054699	5.78256576285969	7.180544207489959	1.3979784446302688	1.3979784446302688
GEO_B_REVISED_10nm	angles	degree	F4-C2-C1	105.74424590376499	112.56321899501663	114.29423470898779	6.818973091251635	8.549988805222796	1.7310157139711606	1.7310157139711606
GEO_B_REVISED_10nm	angles	degree	F5-C3-F6	107.77152882883	102.55478637595218	102.66880513714769	-5.216742452877824	-5.102723691682314	0.11401876119550991	-0.11401876119550991
GEO_B_REVISED_10nm	angles	degree	F5-C3-C1	110.16968887384166	112.16812996741159	111.95329484860646	1.998441093569923	1.7836059747647965	-0.2148351188051265	-0.2148351188051265
GEO_B_REVISED_10nm	angles	degree	F5-C3-C4	106.87356801362543	108.89167217865264	109.02230457323049	2.0181041650272107	2.148736559605055	0.13063239457784448	0.13063239457784448
GEO_B_REVISED_10nm	angles	degree	F6-C3-C1	106.39321950632629	108.91003531444102	108.93154566225118	2.5168158081147283	2.538326155924892	0.02151034781016392	0.02151034781016392
GEO_B_REVISED_10nm	angles	degree	F6-C3-C4	105.92765861305558	106.7458089037404	107.11072089848665	0.8181502906848124	1.1830622854310633	0.3649119947462509	0.3649119947462509
GEO_B_REVISED_10nm	angles	degree	F7-C4-F8	107.7280972686723	103.03678984013678	103.08968525272569	-4.691307428535524	-4.638412015946614	0.05289541258891006	-0.05289541258891006
GEO_B_REVISED_10nm	angles	degree	F7-C4-F9	109.46339202165414	104.06416981086176	104.04113178322547	-5.399222210792388	-5.422260238428677	-0.02303802763628937	0.02303802763628937
GEO_B_REVISED_10nm	angles	degree	F7-C4-C3	111.75127911230354	115.88518579805206	115.82534695957914	4.133906685748528	4.0740678472756	-0.05983883847292759	-0.05983883847292759
GEO_B_REVISED_10nm	angles	degree	F8-C4-F9	107.99167256109826	103.5186821163523	103.51586755725207	-4.47299044474596	-4.47580500384619	-0.0028145591002299852	0.0028145591002299852
GEO_B_REVISED_10nm	angles	degree	F8-C4-C3	108.36126926334	113.4894256032025	113.42315010131925	5.1281563398625	5.0618808379792455	-0.06627550188325415	-0.06627550188325415
GEO_B_REVISED_10nm	angles	degree	F9-C4-C3	111.3974313862652	115.29256963476959	115.39496386129979	3.895138248504395	3.997532475034589	0.10239422653019403	0.10239422653019403
GEO_B_REVISED_10nm	angles	degree	O1-S1-O2	115.8617593435942	112.33979448908708	112.31660964043856	-3.521964854507118	-3.5451497031556443	-0.023184848648526213	0.023184848648526213
GEO_B_REVISED_10nm	angles	degree	O1-S1-O3	115.96678545732925	112.91412628914618	112.80911743919692	-3.0526591681830695	-3.157668018132327	-0.10500884994925741	0.10500884994925741
GEO_B_REVISED_10nm	angles	degree	O1-S1-C2	102.50601319835522	106.4424247351568	106.5189038099939	3.936411536801586	4.0128906116386815	0.0764790748370956	0.0764790748370956
GEO_B_REVISED_10nm	angles	degree	O2-S1-O3	116.12933095760322	112.51789094681526	112.45732153982276	-3.611440010787959	-3.6720094177804583	-0.06056940699249935	0.06056940699249935
GEO_B_REVISED_10nm	angles	degree	O2-S1-C2	100.92184273605463	105.5396053793924	105.63745534638872	4.61776264333777	4.715612610334091	0.09784996699632131	0.09784996699632131
GEO_B_REVISED_10nm	angles	degree	O3-S1-C2	101.71880765541988	106.42044281553511	106.46413117941077	4.701635160115231	4.745323523990891	0.043688363875659775	0.043688363875659775
GEO_B_REVISED_10nm	angles	degree	C1-C3-C4	119.16297945581584	116.51423450377187	116.18198121239095	-2.6487449520439696	-2.9809982434248923	-0.33225329138092263	0.33225329138092263
GEO_B_REVISED_10nm	angles	degree	C2-C1-C3	117.05902651940126	115.24626199376925	114.23965862914316	-1.812764525632005	-2.8193678902580928	-1.0066033646260877	1.0066033646260877
