observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_normalized__R_OG2P1-SG3O1	J_h_tight_normalized__R_CG312-SG3O1	J_h_tight_normalized__R_CG312-CG312	J_h_tight_normalized__R_CG302-CG312	J_h_tight_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_tight_normalized__TH_FGA2-CG312-FGA2	J_h_tight_normalized__TH_CG312-CG312-SG3O1	J_h_tight_normalized__TH_FGA3-CG302-FGA3	J_h_tight_normalized__LAMBDA_CS	J_h_tight_normalized__LAMBDA_CC
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-0.0016972240360872322	-0.006537175002211111	-0.08128011816217535	-0.013074982668696004	0.008253632339869133	0.02872467169672919	-0.027795838996645804	0.006091079790777578	0.010326894902780175	-0.00400460179600485
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.47637599176681483	-0.0025730068614862292	-0.0007931705248215909	-0.00011516420624542907	-0.016974419867665173	0.0006559193081641841	-0.0004442749149865162	0.00014026791180417791	-0.00012056772753633716	6.120091415133071e-05
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.47596014917656976	-0.003408825117296516	-0.0008870744970739746	-0.00010683692672517095	-0.015785281858859967	0.0003403256906101918	-0.00017981724415336604	0.00012584777595026075	2.4669842113578255e-05	-1.6386993077303437e-05
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.47597845343932343	-0.0023946488938133806	-0.0006210003601841368	5.308501321854564e-05	-0.017482072682302296	0.0008420184186872267	-0.0003097337972089874	0.00012626329065932058	1.9225409801186068e-05	-2.584769188808246e-05
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.04228248347059986	0.6912020591559292	-0.12018808419065098	8.39648664191499e-05	0.04727551014469871	0.046041618246502936	-0.040980854209512044	0.0005151210918479733	-0.0003439637479359332	-8.966045372601214e-05
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0009305975473093331	-0.0034759886184382127	-0.012841044442280335	-0.0012666573410450464	-0.0009309139774325567	-0.003873375273741248	-0.0019031411897972017	0.000810242869490937	-0.00032493595839910047	9.150764426423197e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.001217163506267968	-0.0023909418035838927	-0.011217073819249069	-0.002596882074682867	-1.3755393994198355e-05	-0.0011196499430747046	-0.0007805884483733632	-0.00020480573534626504	-6.715875813639076e-06	6.287896921221866e-05
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.002237735470076521	-0.014915242886652325	-0.008226370938098101	2.7587132460680772e-05	0.002138884206018417	-0.0022800953860698803	0.0029793551522652602	4.0865049845988864e-05	-0.00026848243501090556	9.202130794105729e-05
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0023224418976605554	-0.014376958360474127	-0.008119816576823818	-0.0014708787397781564	0.001840237662546407	-0.00043985283268982575	0.002741228815358691	0.0008172674767214845	-3.580434105464624e-05	1.262991889397802e-05
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.00028500300025428936	1.93268477433516e-05	-0.008146918757094695	-0.004504888744760771	0.00028054491760340247	-0.002679269489040308	-0.00015539102304312928	0.0025225917230478814	-2.2704072986494152e-05	-4.2401213777667785e-05
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0005296452466553459	-0.0006336261128285479	-0.010798282784147012	-0.005465536791000398	0.0004849539579684928	-0.00361768365927768	-0.000527020236794527	0.00316978235639086	7.686805762372957e-05	-0.00010348059103240414
BOND|B|F7-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.00020000144803880262	-0.00019259970044125136	-0.004978579855695484	-0.0065905216375394815	0.0002041460394126066	0.0023176560419693425	3.2301262920592715e-05	-0.03399006435649461	-3.306509355205378e-05	2.341914221807665e-05
BOND|B|F8-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0005082574683962843	-0.0002579524855568967	-0.0030474118744695643	-0.012933511445551498	0.00029594392232811114	0.0006499661037285954	-0.00021970327116544513	-0.029925880009579183	9.010956171969416e-05	-7.024299136793033e-05
BOND|B|F9-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0002208676932704792	-6.192491161824717e-06	-0.0026977710158273796	-0.007508446971461592	0.0003051889760537681	0.0009780825479193615	1.7919150866833412e-05	-0.03329871794400313	-7.548628123194629e-05	9.849632985768784e-06
BOND|B|C1-C2	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.005060682148194709	-0.05023324845354071	0.5467714301459004	-0.0068616213246047155	0.006870169409425143	0.016483647014191406	-0.03238766172049284	-0.00028922857398249076	0.000362069512223192	0.00022389991890466268
BOND|B|C1-C3	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.0006484747607900066	-0.007495520237121999	0.546726070243033	-0.033273265676815676	0.0019971299661850008	0.02138633330274923	-0.0021843101032512652	0.011187857071220456	0.0004887445161193345	-0.0011402057789948392
BOND|B|C3-C4	bond	bond	CG302-CG312	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.0004976457990717217	7.867779436301245e-05	-0.05670065049021005	0.8734507543696652	0.0005256379449246119	0.010996291381089734	-0.0024456055774393	0.04663606261157441	2.215882104478528e-05	-0.0006144372936093737
ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-0.006575778379923766	-0.026680380642118733	0.05827525208371521	0.0003246289864356072	-0.0027620758703798933	-0.03903282146970975	-0.01722641842768645	-0.0001438814153028029	0.0020423103568677093	-0.0006919936627878818
ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-0.00792607887226422	-0.033035639661725756	0.06308035080089976	0.0007788479448941304	0.008191109368980851	-0.04233915312985727	-0.01628658573576879	-0.0017899816880284742	-0.001842016637191813	0.0004601991910559887
ANGLE|B|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	B	GEO_B_REVISED	degree	0.21320071635561041	3.0	-0.008603284864857752	-0.07333126824921948	-0.12860989121614894	-0.006389319901421256	0.03096116811515291	-0.028781379759854883	0.11250186449386436	0.0026386969095555687	0.0005130164976723786	0.0024687572833950117
ANGLE|B|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.0005928617193641568	0.0030193079623436494	0.00914957482418553	0.0038805081639652563	-0.002410593437163988	0.17303810119019455	-0.0016233432829151021	-0.0013728101689503384	-0.00011490417383290996	-0.0031192054917228156
ANGLE|B|F1-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-0.0027812213500216583	-0.008493244907401101	0.015513018533137584	0.003923218346673012	0.006955780887534642	-0.02781766433979593	-0.015061741582742389	0.0002333858907984796	0.00014621947304289102	-0.0007214440008927299
ANGLE|B|F1-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0020922029721224538	0.006884411996292844	0.007235898512581664	0.0039030692744342803	-0.0025358042283225458	-0.02591771517015497	0.00591185206449699	-0.0012515725552587165	-0.000599402606806131	0.0006173839819984361
ANGLE|B|F2-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	-0.0009705979986604762	-0.00012421236832425628	0.010804602151071907	0.00466360589500367	0.00029055898126430983	-0.02322628741898029	-0.007098893104861362	-0.003185779710668805	0.00016164353828276376	-0.0010871020892851118
ANGLE|B|F2-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0015378264126621967	0.005202865646702049	0.011632783186125638	-0.007609610463974881	-0.0027775224111084885	-0.01959029200093232	0.004514643867663903	0.002208413718851654	0.00022072288981225612	0.002146173286301902
ANGLE|B|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.0020553961723268977	0.012039798568063413	0.007472864505198894	-0.0008719427266459206	-0.0019868350473041894	0.17137422916822984	-0.0038643785922128477	0.0010281739172241086	0.0017176383695000734	-0.00012310894844204005
