observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_normalized__R_OG2P1-SG3O1	J_2h_normalized__R_CG312-SG3O1	J_2h_normalized__R_CG312-CG312	J_2h_normalized__R_CG302-CG312	J_2h_normalized__TH_OG2P1-SG3O1-OG2P1	J_2h_normalized__TH_FGA2-CG312-FGA2	J_2h_normalized__TH_CG312-CG312-SG3O1	J_2h_normalized__TH_FGA3-CG302-FGA3	J_2h_normalized__LAMBDA_CS	J_2h_normalized__LAMBDA_CC
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-0.002350103118576721	-0.004044428200246983	0.01569345557854108	0.004294743971706409	0.0033281941579169335	-0.014869770578824966	-0.009002847988505196	-0.0015345497207631521	-0.0003089735877512203	0.0010273712629241289
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0014851352458409477	0.003607366679857008	0.007536731444042662	0.002697453229350044	-0.0019098427139379666	-0.03263700529145936	-0.0017671478212467307	-0.00011663728465305745	-0.001769143389026478	-0.0024329789102864353
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00033933777657044775	-0.0028296867132527647	0.0003991859317412493	0.0026365874203986657	-0.0007494512969742872	-0.03194994720768885	0.014679108271145852	-0.0008923506390340437	-0.0014019594084540275	0.0012247804066574874
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0014542915247201713	0.004157097571875751	0.004528835251527274	-0.0070050336003770215	-0.0027706407011775934	-0.014940236138932942	0.006353744093311195	0.0008185399166644371	-0.0014800463755595922	0.0009951120860565484
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0018931196026294578	0.011200875265173521	0.013241759530867163	0.0005578993910861136	-0.0010759271637878773	0.1711976085198765	-0.004700572375196382	-0.0009075913797670618	0.0018413406427454583	-0.0002996314186984495
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.004717118075164977	0.026048497647653133	-0.003652908967407227	-8.081797188253902e-05	-0.006748958350387055	-0.023212628944740684	-0.013171613138930284	0.0005564479135308943	-4.3845425283779335e-05	0.0009073206333270133
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00341919124584434	0.023096767902502795	-0.004216788989600989	-0.0002738471320700219	-0.007554753177528423	-0.029052226044120184	-0.012027047629695085	-0.00044261937912555414	-0.001332058286722365	-0.001099704085011849
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.0015864387839119626	0.0003406732453208354	0.011317707871141313	0.0025122487452942793	-0.0019060508786288867	0.16993279665546088	0.0022838930182977604	-0.001376181907906005	-0.0014625669167057178	7.100962102182702e-05
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-0.0029685931169119557	0.001320924286676336	-0.002084811778333731	0.01418525548029608	0.00045045451665959443	-0.019402336502722013	-0.0026535303851908834	-0.007491679936263359	0.00013438766935496777	0.0002976168600032383
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0019106262954564908	-0.0027254500050057024	0.041277822671078546	0.0017631525390494045	0.005737287811821168	-0.0579215529895079	-0.002021804770018632	0.0001287013279580678	0.002414085452925097	-0.0006294908121952442
