observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_raw__R_OG2P1-SG3O1	J_h_raw__R_CG312-SG3O1	J_h_raw__R_CG312-CG312	J_h_raw__R_CG302-CG312	J_h_raw__TH_OG2P1-SG3O1-OG2P1	J_h_raw__TH_FGA2-CG312-FGA2	J_h_raw__TH_CG312-CG312-SG3O1	J_h_raw__TH_FGA3-CG302-FGA3	J_h_raw__LAMBDA_CS	J_h_raw__LAMBDA_CC
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-1.9735927946058496	-9.587253537574725	-113.56015120330198	-17.692854950318804	0.02432833227670983	0.08123046255174415	-0.07741965038815835	0.017052818445769446	0.3151204030686472	-0.10862535033922427
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.576369430796426	-0.04603578886597237	-0.01979024443321542	-0.0063423235936443945	-0.0006088333082088226	2.002105902609852e-05	-8.447348148865608e-06	-4.664795194453397e-06	-0.00015968715515457532	4.036132385198954e-05
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.568767581018433	-0.056967865841528464	-0.012117714197179552	-0.0024021711374500043	-0.0005709392469066543	9.227147180435047e-06	-1.638012190030569e-05	1.421891124986363e-05	0.00012110464333581206	-7.879955555178952e-05
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.569212184832308	-0.04884399858873234	-0.010949294714013291	0.007220434088406336	-0.000627921161872047	3.3996640014133384e-05	-1.1381290375700459e-05	7.567155374199608e-06	-1.4764574958192611e-05	0.00013191731892847613
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.4456552939494651	7.179290492435486	-1.2308944373087272	0.010806578925603993	0.0009635391077822408	0.0009381032646009757	-0.0008614150885549732	3.0456555999869295e-05	-0.00035906373660354873	0.00032315678905048273
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.016186327703837655	-0.09302767734409301	-0.3222049229016921	-0.03425876506590875	-4.759583558899827e-05	-0.00019447752497714355	-9.371362852395038e-05	3.905084552546789e-05	-1.6637075457293093e-05	2.900062451072216e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.02468807797750827	-0.05895652418630437	-0.2854514314669654	-0.06714082250058873	4.693804490751852e-06	-5.3388664124187635e-05	-4.23598263218361e-05	-1.4448712618464477e-05	7.16373513554025e-05	-3.183107262882956e-05
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.056906718009841484	-0.380857369055132	-0.20941518476691456	0.003530615759750333	0.00011195828609311675	-0.00010931923519919007	0.0001485672899007584	2.697322058597962e-06	1.98131608741825e-05	4.003559401333234e-05
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.05084072051531052	-0.365824281178484	-0.21267672082947442	-0.0413435431816378	9.565927498256244e-05	-1.3100657971110152e-05	0.0001429838847359921	3.2604436109195944e-05	0.0003148572522948534	-1.6270784115590686e-05
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.006971697085189632	0.007546867231478238	-0.20702018196427918	-0.11627565859895217	2.0366700339780053e-05	-0.0001341831070712507	-8.699950578172633e-06	0.00012469406273984962	7.208702214933638e-05	-2.2604152991601012e-05
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.021820959768770187	-0.022885498809244176	-0.27894112598569887	-0.13610475760161833	2.1316920018499275e-05	-0.00018234243721459986	-2.5587032227991635e-05	0.00016429984057630964	-0.00013142206624294772	8.982700402171417e-05
