observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_raw__R_OG2P1-SG3O1	J_2h_raw__R_CG312-SG3O1	J_2h_raw__R_CG312-CG312	J_2h_raw__R_CG302-CG312	J_2h_raw__TH_OG2P1-SG3O1-OG2P1	J_2h_raw__TH_FGA2-CG312-FGA2	J_2h_raw__TH_CG312-CG312-SG3O1	J_2h_raw__TH_FGA3-CG302-FGA3	J_2h_raw__LAMBDA_CS	J_2h_raw__LAMBDA_CC
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.009842422765860004	0.0006324143675406901	-0.20453646412871285	-0.11253442161335281	1.7479246056495423e-05	-0.0001323175040149338	-6.160431873902805e-06	0.00012596894386118773	3.2268685427050414e-05	-1.6825825306376885e-05
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.01192875898164969	-0.01935681017672941	-0.2765674836353593	-0.1400025134253302	2.262707257294494e-05	-0.0001868070600358207	-2.714018176180888e-05	0.00016345927536876026	0.00010609360605706719	-4.725864838572846e-05
BOND|B|F7-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.00033037700630789146	-0.002906467942320745	-0.0820235479673248	-0.1157217167482294	8.61233076665524e-06	8.384455835741544e-05	8.257552533641466e-06	-0.0012218708650543197	0.00011707043940045736	-1.7257476924159576e-05
BOND|B|F8-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.015734462807948102	0.00018483834501870078	-0.0614620281118583	-0.23241110945415588	9.686591489699303e-06	2.044509992638055e-05	-1.1140804961562445e-05	-0.0010729161723085356	5.123886385738352e-05	9.010575681145383e-06
BOND|B|F9-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.005213102784396018	-0.0021287819866877555	-0.049723751586627785	-0.13367297289518243	1.3686837927795459e-05	3.896476212600364e-05	-2.8964746639492667e-06	-0.001201328364635823	-9.274602799425047e-05	1.906863278611226e-05
BOND|B|C1-C2	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.07375941113291207	-0.73888231856023	8.037972608457844	-0.10574096266596777	0.0002003767716073912	0.0004907792685987511	-0.0009526269880165139	-1.5277252233325544e-05	2.462950364323646e-05	3.041526864588917e-05
BOND|B|C1-C3	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.013849893102935162	-0.11584572139905491	8.025686786613639	-0.4911476694020589	5.1302028779676156e-05	0.0006199666434502094	-7.164837914536148e-05	0.0003397354208080072	0.00018610459621482	-0.00026339983432377423
BOND|B|C3-C4	bond	bond	CG302-CG312	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.00949689983109625	-0.00010733302330256933	-0.592214421879178	9.074079705651771	6.320213701116462e-06	0.00023386118960594393	-5.7274244152139e-05	0.0009723119514513101	-6.408794360757142e-05	-8.315428791094703e-05
ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-11.769115404742791	-54.54983478539788	116.73883923241135	1.4725065856637798	-0.01160984886627503	-0.15671071573662587	-0.0684504919964084	-0.0008517398026377521	0.06238793967625611	-0.014838122170814927
ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	-18.653051754487393	-63.737689316653245	125.24999824807281	0.5902827443051706	0.03560466718442967	-0.16629014097437533	-0.06549081678187108	-0.008949936680458848	-0.05625175900711099	0.0058202637397641865
