observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_raw__R_OG2P1-SG3O1	J_h_tight_raw__R_CG312-SG3O1	J_h_tight_raw__R_CG312-CG312	J_h_tight_raw__R_CG302-CG312	J_h_tight_raw__TH_OG2P1-SG3O1-OG2P1	J_h_tight_raw__TH_FGA2-CG312-FGA2	J_h_tight_raw__TH_CG312-CG312-SG3O1	J_h_tight_raw__TH_FGA3-CG302-FGA3	J_h_tight_raw__LAMBDA_CS	J_h_tight_raw__LAMBDA_CC
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	5.0430080197827465	14.516724767993594	29.538138330131858	11.158998652078367	-0.01508866983887458	-0.2592682075983461	-0.014288557241521005	-0.0006716073025643254	-0.1245461318001162	-0.19119848412671558
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.4983819378949761	-10.731672732468667	1.6617674810674998	10.214412493411373	-0.0061224224507867575	-0.2541175590512381	0.11694045860650704	-0.007004055431778511	-0.11523809446785549	0.11540884893278758
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	5.351800568277554	16.786383515196235	17.759425332791068	-28.022112111415254	-0.02227421213601133	-0.11854067767373522	0.05061941895579025	0.006742760511947665	-0.11774012088437757	0.0868186605197252
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	4.438528830178257	27.358900098199967	32.82434235593712	1.434120759412849	-0.005233513745793061	0.8343977290397646	-0.02288364876883975	-0.004500888781031165	0.08749387117362062	-0.01200240634332772
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	18.912746697857585	104.31896430946352	-15.738559740910318	0.24062717192663285	-0.05477044495410155	-0.1850013563385815	-0.10527418219622575	0.005187226397431743	0.014157454425571814	0.057680024775663696
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	13.891134780998016	91.80802417627376	-16.628797315235033	-1.7014871769660544	-0.05991331596452909	-0.23110296360097493	-0.09515239596365888	-0.00389481951252435	-0.11141774240016389	-0.07843191737023858
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	3.6610616549737074	0.9021493039824691	27.63078082433168	5.897521009117668	-0.009494757231969686	0.8282373554466744	0.01114183303096894	-0.00675727108297508	-0.07419236686999398	0.005634416903745887
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-11.635857775843306	4.514371685111485	-9.239771514714334	57.16208933033329	0.004014249291408589	-0.1542010005286869	-0.021002462542547562	-0.059275999856453154	0.02543170524489824	0.01800783925503424
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	3.7518655042632076	-5.2914563613342125	82.92756568791049	3.7266832887752344	0.023212824687995237	-0.23061207041417475	-0.008380601401441368	0.0005545960023312091	0.10503377194041263	-0.036689564635139504
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	2.962275817964155	-4.0851071254053295	-46.62746130131268	51.77801073929089	-0.0026196471649626574	-0.19302894906842738	0.004382377132493787	-0.06036730429633508	-0.013056451155648574	-0.006849897736316279
