observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_normalized__R_OG2P1-SG3O1	J_h_normalized__R_CG312-SG3O1	J_h_normalized__R_CG312-CG312	J_h_normalized__R_CG302-CG312	J_h_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_normalized__TH_FGA2-CG312-FGA2	J_h_normalized__TH_CG312-CG312-SG3O1	J_h_normalized__TH_FGA3-CG302-FGA3	J_h_normalized__LAMBDA_CS	J_h_normalized__LAMBDA_CC
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0008046861822354674	-0.0011831982506883385	-0.011996158773648328	0.013166448339437616	-0.00048413454230430703	-0.024514325919340527	0.0005642997646407678	-0.007742469444524486	-0.000477977857855981	-0.00038424161063481404
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0007481412811745094	0.0034046420584021558	0.04756211152382126	-0.014828935045282592	-0.006835560042141069	-0.04851837022229287	0.002555248561117944	0.00842159715483499	-0.000626037976742656	0.0005936043324523088
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.000978462805109602	0.0004557447009404072	0.0051365343213981614	0.012122533918844037	-0.0009705405042169246	-0.0017537142743587577	-0.00019619161178289926	0.12455775172702953	0.00024819826617196466	-0.0002776685041949672
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.00012396577753565475	0.0012615547149071999	0.002407068172662388	0.00841722566412821	-0.0016410163503953247	-0.002191574677348246	0.00048039562838513174	0.12803300406414497	0.00021545640947345158	0.0005698129700410471
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0012021176743507301	-0.003576077267837539	-0.004290211852903776	-0.0028307331395967836	0.006516246877016892	0.00445465163697057	-0.00012159435575465181	-0.11225972463283725	-0.0005296816743915099	-0.000256014810817606
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	5.2468201672430905e-05	0.000156509664946559	0.003404517799872581	0.01035672953649001	-0.000734277283153344	-0.0011785270090907266	0.0003232404380473898	0.1263822999502662	0.0002378622359468039	0.00017288661848576976
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.0007780904650049056	0.0012271292346538575	0.0010910331465618518	-0.013287189767923263	-0.0023129618380582618	-0.004091229054905911	0.00026089660551353595	-0.10578416551790894	-1.6519008847139322e-05	0.0003777101565073351
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	-0.0003088043883889712	0.0008013256444205766	-0.005955090418898795	-0.010157025789682842	-0.0014678934750813894	0.0038605068324057295	-0.0006503944470335208	-0.10299293974127967	-4.067412340448237e-05	-0.0005143267590738785
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.034934546451987056	0.007939852682904884	0.0017749729559669843	0.0003350265579944403	0.10025609400309222	-0.0030838474159414412	0.004499137991821739	-0.0010753108613212367	-0.001158815610769734	-3.1010076115849883e-06
ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-0.03461028788487997	0.006333754713800326	0.0015454225852367602	0.0008241708213522267	0.1044295313976837	-0.0011859182203625787	-0.0008167431891779552	-0.0006478257770142745	0.0017793191468168012	-7.537717825308671e-06
