observable_id	kind	family	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	endpoint_rounding_raw	binary_arithmetic_bound_raw	uncertainty_envelope_raw	J_h_normalized	J_2h_normalized	J_h_tight_normalized	uncertainty_envelope_normalized	step_disagreement_normalized	convergence_disagreement_normalized
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	R_CG302-CG312	10.507761375841085	10.735728301543901	11.158998652078367	0.004819657156167607	6.727666172113431e-10	0.8840238590962657	0.0026401743841101143	0.002697453229350044	0.002803803906441334	0.00022211935199578214	5.727884523992971e-05	0.00016362952233121971
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	TH_OG2P1-SG3O1-OG2P1	-0.015612791913184765	-0.01520215605774311	-0.01508866983887458	4.819640730529659e-06	6.72769563002082e-13	0.0009395775704823691	-0.001961430784315489	-0.0019098427139379666	-0.0018955854712537595	0.00011803887358801982	5.158807037752237e-05	6.584531306172946e-05
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	TH_FGA2-CG312-FGA2	-0.2604371987119407	-0.2597872819982747	-0.2592682075983461	4.81963639851719e-06	6.727577825525103e-13	0.0018237274636590912	-0.03271865415070977	-0.03263700529145936	-0.03257179411635171	0.00022911438321301963	8.164885925041054e-05	0.00014686003435806366
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	TH_CG312-CG312-SG3O1	-0.014855514956543914	-0.014066319053206655	-0.014288557241521005	4.81964674120246e-06	6.727710301278414e-13	0.00136097326510137	-0.0018662942870594306	-0.0017671478212467307	-0.0017950675441530581	0.00017097869962295968	9.914646581269987e-05	7.122674290637246e-05
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	TH_FGA3-CG302-FGA3	-0.001139721265239757	-0.0009284210634241674	-0.0006716073025643254	4.819642257383941e-06	6.727685236806685e-13	0.0006842338067484052	-0.0001431828713026288	-0.00011663728465305745	-8.437384201017278e-05	8.596010628261389e-05	2.654558664957134e-05	5.8809029292456006e-05
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	LAMBDA_CS	-0.14772847970689895	-0.14082203572172602	-0.1245461318001162	9.639313476452697e-05	1.3455417001705383e-11	0.030185185026720206	-0.0018559088562023322	-0.001769143389026478	-0.0015646696525421834	0.0003792156551556245	8.676546717585414e-05	0.00029123920366014885
ANGLE|A|F1-C1-C3	angle	CG312-CG312-FGA2	LAMBDA_CC	-0.20486714409756246	-0.19366267603842857	-0.19119848412671558	9.639313884137444e-05	1.3455392843499227e-11	0.02496952116882214	-0.0025737403365276045	-0.0024329789102864353	-0.002402021334594842	0.00031369141254477065	0.0001407614262411692	0.0001717190019327624
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	R_OG2P1-SG3O1	0.6851913038019575	1.3505472984931544	0.4983819378949761	0.0048747640012666345	6.606093933492499e-10	0.8570401245994449	0.00017216079275193263	0.00033933777657044775	0.00012522317350665478	0.00021533943360422728	0.00016717698381851513	4.6937619245277846e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	R_CG312-SG3O1	-10.509633380962669	-11.262010922536092	-10.731672732468667	0.004874777264480345	6.606011283695973e-10	0.9792916703439021	-0.002640644743094502	-0.0028296867132527647	-0.0026964342292792923	0.000246056290215995	0.0001890419701582628	5.578948618479044e-05
ANGLE|A|F2-C1-C2	angle	CG312-CG312-FGA2	R_CG312-CG312	1.0028556098546915	1.5887399486089748	1.6617674810674998	0.004874816584894049	6.606029501496832e-10	1.2496710265519857	0.000251976952787201	0.0003991859317412493	0.00041753478966022106	0.00031399165957963614	0.00014720897895404827	0.00016555783687302003
