observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_normalized__R_OG2P1-SG3O1	E_normalized__R_CG312-SG3O1	E_normalized__R_CG312-CG312	E_normalized__R_CG302-CG312	E_normalized__TH_OG2P1-SG3O1-OG2P1	E_normalized__TH_FGA2-CG312-FGA2	E_normalized__TH_CG312-CG312-SG3O1	E_normalized__TH_FGA3-CG302-FGA3	E_normalized__LAMBDA_CS	E_normalized__LAMBDA_CC
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00021533943360422728	0.000246056290215995	0.00031399165957963614	0.00015479055398072864	6.53102853812303e-05	4.723915086365626e-05	0.00022138535139334673	7.029299008558628e-05	0.00020203361125431182	0.00022632264366100264
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00036830897465078036	0.00029684146110170174	6.782147864784522e-05	0.0004002211180875066	7.82742931391124e-05	0.0001343974354531599	6.1645505345462725e-06	0.0002454563204712925	1.3148566417770634e-05	0.00013494261038570098
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	8.897783507081576e-05	0.0003371748787219189	0.0003588035119501465	8.702209412756236e-05	0.0002735967470558306	4.5048909798554656e-05	0.000338898371109253	0.00010038522852370697	0.0005723966621777542	0.0002989680318737194
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.000396790728626645	0.0001638610856645419	0.0003027857080752865	0.0011271092364758973	0.0004827595637221876	9.007269171556144e-05	0.00030874008816147866	0.0005276046129352353	0.0004948779707221146	0.00018392079755048932
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00030311063180376186	0.0003297882516572387	0.0005406299577279399	0.0007577863249474791	8.458441049063912e-05	8.805673557851512e-05	0.00015265551689501143	0.00027708646942771475	9.100107168534594e-05	0.0003077234941044909
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.00012647524837944423	0.00025344035209149253	0.00021035558352274834	0.0006454391978089499	0.00020405471419358227	0.00043202492300993653	0.000105346795037624	8.203568813672911e-05	0.0003650425426437507	0.00037313248689987066
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.0005673689248422766	0.0003071415354345912	0.0004276893893724811	0.0002491732374604832	0.00021916434572174295	9.146818779430547e-05	3.220500866126534e-05	0.000571584670805409	0.0004548701702139273	7.25984440373515e-05
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.000305211879523802	0.0004351073013647882	0.0005828349151311671	0.0003519834255843364	0.00035880873022417427	0.001314204326100577	0.0004135683070853526	0.0005228137906999968	0.00022743798581718636	0.0018872430520704057
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.00023660305100642654	0.0002777091684362711	0.00044552272868272647	0.0003775133791658838	0.00028494326792739507	0.0005822138377632502	1.656833400340195e-05	0.00032728327717934853	0.0005537619504862986	0.0006548075403781178
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.0002766849107112965	0.0011828852501859105	0.0008665425483907624	0.0006100561595658502	4.4117890256297146e-05	0.00039591732315148303	0.00045253229670329004	0.0003614817711701585	0.0006773889165683329	0.0005009983998645238
