state_key	source_id	observable_id	kind	block	family	unit	raw_value	raw_input_numeric_strings	serialized_input_sha256	source_geometry_sha256	row_weight	observable_scale
primary__BASE	GEO_A	ANGLE|A|O1-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	degree	112.81806149493821	O1:4.876091793,4.817237275,4.938749637;S1:4.792282305,4.931558820,4.970037174;O3:4.755620409,5.008395423,4.852381898	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|O1-S1-C2	angle	angle	CG312-SG3O1-OG2P1	degree	105.87064901692571	O1:4.876091793,4.817237275,4.938749637;S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	degree	112.67801622471073	O2:4.677345998,4.895003479,5.051149998;S1:4.792282305,4.931558820,4.970037174;O3:4.755620409,5.008395423,4.852381898	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	degree	105.80698514864075	O2:4.677345998,4.895003479,5.051149998;S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	degree	106.74638719113069	O3:4.755620409,5.008395423,4.852381898;S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	degree	115.86654144145922	C1:5.001652755,5.103754337,4.997268083;C3:5.113831672,5.023631296,4.931822122;C4:5.192074191,4.934523524,5.022913001	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.21320071635561041	3.0
primary__BASE	GEO_A	ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	degree	121.82926588292528	C2:4.891065922,5.037653790,5.071467369;C1:5.001652755,5.103754337,4.997268083;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.21320071635561041	3.0
primary__BASE	GEO_B_REVISED	BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	angstrom	1.4533189311098544	S1:4.745479939,5.123411518,5.084423482;O1:4.693802304,5.161073912,4.953915531	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.16666666666666666	0.03
primary__BASE	GEO_B_REVISED	BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	angstrom	1.4539166783268553	S1:4.745479939,5.123411518,5.084423482;O2:4.653676523,5.037620325,5.157572242	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.16666666666666666	0.03
primary__BASE	GEO_B_REVISED	BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	angstrom	1.4529981473824385	S1:4.745479939,5.123411518,5.084423482;O3:4.789503772,5.237491171,5.162907691	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.16666666666666666	0.03
primary__BASE	GEO_B_REVISED	BOND|B|S1-C2	bond	bond	CG312-SG3O1	angstrom	1.7772454908314292	S1:4.745479939,5.123411518,5.084423482;C2:4.889896631,5.024213074,5.054598943	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.2886751345948129	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F1-C1	bond	bond	CG312-FGA2	angstrom	1.366737812179786	F1:4.952963484,5.173049904,4.880168302;C1:4.997925068,5.102343155,4.988143920	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.11785113019775793	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F2-C1	bond	bond	CG312-FGA2	angstrom	1.3654560161570388	F2:5.045682836,5.200303771,5.070409433;C1:4.997925068,5.102343155,4.988143920	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.11785113019775793	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F3-C2	bond	bond	CG312-FGA2	angstrom	1.3528327422223558	F3:4.852012787,4.915295936,4.983863975;C2:4.889896631,5.024213074,5.054598943	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.11785113019775793	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F4-C2	bond	bond	CG312-FGA2	angstrom	1.3525821695752758	F4:4.928570274,4.972786515,5.173571392;C2:4.889896631,5.024213074,5.054598943	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.11785113019775793	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F5-C3	bond	bond	CG312-FGA2	angstrom	1.3642732481266333	F5:5.076595383,4.933187918,4.837452891;C3:5.114775021,5.019957883,4.935563560	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.11785113019775793	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F6-C3	bond	bond	CG312-FGA2	angstrom	1.3675783793116378	F6:5.201333177,5.102959571,4.869828397;C3:5.114775021,5.019957883,4.935563560	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.11785113019775793	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F7-C4	bond	bond	CG302-FGA3	angstrom	1.3488617374898302	F7:5.134974055,4.838443928,5.092898341;C4:5.195170252,4.945598441,5.037323094	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.16666666666666666	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F8-C4	bond	bond	CG302-FGA3	angstrom	1.3539222479719062	F8:5.310150961,4.893892625,4.987957117;C4:5.195170252,4.945598441,5.037323094	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.16666666666666666	0.03
primary__BASE	GEO_B_REVISED	BOND|B|F9-C4	bond	bond	CG302-FGA3	angstrom	1.3500415398297896	F9:5.236309532,5.018654053,5.143136887;C4:5.195170252,4.945598441,5.037323094	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.16666666666666666	0.03
primary__BASE	GEO_B_REVISED	BOND|B|C1-C2	bond	bond	CG312-CG312	angstrom	1.4896550889269626	C1:4.997925068,5.102343155,4.988143920;C2:4.889896631,5.024213074,5.054598943	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.20412414523193154	0.03
primary__BASE	GEO_B_REVISED	BOND|B|C1-C3	bond	bond	CG312-CG312	angstrom	1.5233495598957483	C1:4.997925068,5.102343155,4.988143920;C3:5.114775021,5.019957883,4.935563560	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.20412414523193154	0.03
primary__BASE	GEO_B_REVISED	BOND|B|C3-C4	bond	bond	CG302-CG312	angstrom	1.4949154672419362	C3:5.114775021,5.019957883,4.935563560;C4:5.195170252,4.945598441,5.037323094	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.2886751345948129	0.03
primary__BASE	GEO_B_REVISED	ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	degree	108.03318902471443	S1:4.745479939,5.123411518,5.084423482;C2:4.889896631,5.024213074,5.054598943;F3:4.852012787,4.915295936,4.983863975	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.15075567228888181	3.0
primary__BASE	GEO_B_REVISED	ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	degree	107.27441032183184	S1:4.745479939,5.123411518,5.084423482;C2:4.889896631,5.024213074,5.054598943;F4:4.928570274,4.972786515,5.173571392	51978e4e0dad536680817245a2d49759c7028e17a09c98fb5387f2fc6a6fd77e	fc99a7915d74ebe8529d1f6619ca528a33b14c721384b3fe84f65a1cf1678cb3	0.15075567228888181	3.0
