state_key	state_stage	state_id	variable_id	multiplier	source_id	axis	target_deg	accepted_qm_center_deg	final_mm_torsion_deg	wrapped_drift_vs_accepted_qm_center_deg	absolute_drift_deg	gate_limit_deg	gate_pass	start_g96_sha256	final_g96_sha256
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CC_330	T_CC	330.0	-30.00016585816224	-30.012813668617603	-0.012647810455348463	0.012647810455348463	0.02	True	12d5e015638e715123552261c80c982de9108a65a82103add957bb662b8d1c03	60e2af03f44c79889c14074828225758980d2e8131ddfb06e99d93b6b9900944
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_000	T_CS	0.0	1.5180520262743396e-05	-0.0033883388012394622	-0.0034035193214947412	0.0034035193214947412	0.02	True	b76cb71c416ae436646084247ac0799101a651a6e78ef12bdd936ed29539a181	a85ef76dcbe55f5cd6567dcc2a380bf340963c0cbcc867df5bba103f1f8943f6
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_010	T_CS	10.0	10.000078136231716	10.000204382314557	0.00012624608282862937	0.00012624608282862937	0.02	True	93231ed042bed5c0602602d32e5c5f3d4901969d8156257c0347236c62607f21	4bf4156fc5e2277c06f33717e6943371dac2eeb1b1a34097d7654b9dcd5fe083
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_020	T_CS	20.0	20.00017404591677	20.00326996586494	0.003095919948179926	0.003095919948179926	0.02	True	fc0fe0aaa70da2491407d7cf40549f0928ad568ab5bdce4bbe2d14d68bfcc78c	05b6bab06f601a4d270e71fb6cfbd773dd623d836ff042af624b978fd43ada10
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_030	T_CS	30.0	30.00019985596987	30.006039640180365	0.005839784210479593	0.005839784210479593	0.02	True	a05c8327bb40345cb389bdc875b9059d4912df044e264f7722d2fc594a9c36dd	3c7d2834c971a569eeb7cebf71b92a5f7513222bafbb47456c01476a05099765
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_040	T_CS	40.0	40.00013511844969	40.00700062305535	0.00686550460565627	0.00686550460565627	0.02	True	1a3dc833568c912b0d2cb86bfde6f64600b04206593d34bfbb044abbbf528520	de478f32bf82036025106c0378348a3fd5fa77752411fdc60a1eb7d4c91ad847
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_050	T_CS	50.0	50.000069706040776	50.005736220857216	0.005666514816425661	0.005666514816425661	0.02	True	d5ffde1699a4340c997fb87781ff0319b604b8e83883345a0da527c51bce31d9	3725a1e6a2ba3298b1b4c8de698f584ab7fe384ddeef8f1d4a7e049cca3b2da1
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_060	T_CS	60.0	60.00001911469256	60.00328034355376	0.003261228861191512	0.003261228861191512	0.02	True	80f6abaaca25fcd7bd9b4a96576a6529dc2aab9c92bb4dc8cb8d94382f35e1bd	0f1fbc717858339872b1c4b7ebc76c8180a54caa7168f94f5cc78733f895b215
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_070	T_CS	70.0	69.99996549339919	70.00006148018781	9.59867886081156e-05	9.59867886081156e-05	0.02	True	861b37106b6bffb8af5aa0780a88e99efc6bb88ef7f40055d7a4c38fada5ead3	7acc2dbc7686794a432af48281275adfc6a8e905f6e93cc57f894e916629f7bf
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_080	T_CS	80.0	79.99992991278366	79.99674668190599	-0.0031832308776529317	0.0031832308776529317	0.02	True	185564ab2bddfe1f6bee80c92bcc4d84c3c5217d92438a78fed413f0c2f0ee48	e06aeff8fe2eee207a07c908661410fc60d59745902dfa78f6dfa6dcbab2c5d2
primary__R_OG2P1-SG3O1_-2h	primary	R_OG2P1-SG3O1_-2h	R_OG2P1-SG3O1	-2	T_CS_090	T_CS	90.0	89.99991027498892	89.99422843038866	-0.005681844600246677	0.005681844600246677	0.02	True	95090c3545e38e3050c6dfd9ee40f08d6e347c417cfbc010bffb72eed38858f5	965f9c4bf7230ce9e4034fc04bda7fe90a62060a1d6efab0f4daaf9f29dcce94
