atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A	adjacent_prev_id	adjacent_prev_distance_A	delta_vs_adjacent_prev_A	adjacent_next_id	adjacent_next_distance_A	delta_vs_adjacent_next_A
F4	F8	F-F	5	>1-4	5.87780259205428	5.85073307337098	0.027069518683299876	2.7328981611743375	3.1449044308799428	T_CC_300	5.846760250888389	0.03104234116589133	T_CC_000	5.699533340117512	0.17826925193676857
F4	F9	F-F	5	>1-4	4.930687058704809	4.669364928478469	0.26132213022633977	2.7328981611743375	2.1977888975304714	T_CC_300	4.658745285991938	0.27194177271287057	T_CC_000	5.002661796705742	-0.07197473800093324
F4	O1	F-O	3	1-4	3.6952329652017037	3.793157746631563	-0.09792478142985939	2.887527140418184	0.8077058247835196	T_CC_300	3.793157746627972	-0.09792478142626804	T_CC_000	3.7931577465837423	-0.09792478138203853
F4	O2	F-O	3	1-4	2.670890927102148	2.887527140418184	-0.21663621331603622	2.887527140418184	-0.21663621331603622	T_CC_300	2.88752714046042	-0.2166362133582722	T_CC_000	2.8875271404182503	-0.2166362133161024
F4	O3	F-O	3	1-4	3.342640810203524	3.04097472589516	0.3016660843083643	2.887527140418184	0.45511366978533996	T_CC_300	3.040974725927089	0.30166608427643515	T_CC_000	3.040974725922149	0.3016660842813752
F4	C1	C-F	2	1-3	2.30773818283032	2.30773818281683	1.3489653838405502e-11	2.30773818281683	1.3489653838405502e-11	T_CC_300	2.3077381828020864	2.823341560542758e-11	T_CC_000	2.307738182808524	2.1795898419441073e-11
F4	C2	C-F	1	1-2	1.3712622634937055	1.3712622634959906	-2.285061029283497e-12	1.330175827384082	0.04108643610962348	T_CC_300	1.3712622634941285	-4.2299497238218464e-13	T_CC_000	1.3712622634760472	1.765831925126804e-11
F4	C3	C-F	3	1-4	3.730640397824907	3.7839331890558765	-0.05329279123096953	3.027915086844433	0.7027253109804739	T_CC_300	3.78369072334422	-0.0530503255193131	T_CC_000	3.561342539870833	0.16929785795407382
F4	C4	C-F	4	>1-4	4.650227343829949	4.567913306165658	0.08231403766429057	3.0895997228579213	1.5606276209720273	T_CC_300	4.562445379454097	0.08778196437585173	T_CC_000	4.535811133985873	0.11441620984407574
F5	F6	F-F	2	1-3	2.2024457806912277	2.2024457806912277	0.0	2.177311651646008	0.025134129045219833	T_CC_300	2.2024457806912277	0.0	T_CC_000	2.2024457806912277	0.0
F5	F7	F-F	3	1-4	2.777287790328723	2.777287790328723	0.0	2.5763140095876267	0.2009737807410965	T_CC_300	2.777287790328723	0.0	T_CC_000	2.777287790328723	0.0
F5	F8	F-F	3	1-4	2.7229431051397572	2.7229431051397572	0.0	2.5763140095876267	0.14662909555213055	T_CC_300	2.7229431051397572	0.0	T_CC_000	2.7229431051397572	0.0
F5	F9	F-F	3	1-4	3.5308634647339128	3.5308634647339128	0.0	2.5763140095876267	0.9545494551462861	T_CC_300	3.5308634647339128	0.0	T_CC_000	3.5308634647339128	0.0
F5	O1	F-O	5	>1-4	3.8008668785411768	2.8342680603586596	0.9665988181825171	2.7983082752897475	1.0025586032514293	T_CC_300	2.8324469628208324	0.9684199157203444	T_CC_000	3.7866471434544544	0.014219735086722363
F5	O2	F-O	5	>1-4	4.500837741329881	4.798183604080283	-0.29734586275040265	2.7983082752897475	1.7025294660401333	T_CC_300	4.803354664881081	-0.30251692355120063	T_CC_000	4.733177280842933	-0.23233953951305253
