matrix_id	n_rows	n_columns	singular_index_1based	singular_value	effective_threshold	supported	effective_supported_rank	spectral_uncertainty_delta	machine_only_tolerance	condition_number_2
A_BASIN_GEOMETRY_ONLY_46	46	10	7	0.2661277514093634	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	8	0.11516228560706634	0.060453155798830954	True	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	9	0.014834528000540307	0.060453155798830954	False	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
A_BASIN_GEOMETRY_ONLY_46	46	10	10	0.005935311485833994	0.060453155798830954	False	8	0.01209063115976619	9.176536106330265e-15	151.36909168141742
B_BASIN_GEOMETRY_ONLY_46	46	10	1	0.9013107123383943	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	2	0.8407767777424773	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	3	0.8200800897210245	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	4	0.667814717366707	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	5	0.31892920645747325	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	6	0.2937403551961283	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	7	0.26664657014019616	0.12372702651148418	True	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	8	0.11028089101018797	0.12372702651148418	False	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	9	0.006749690299702223	0.12372702651148418	False	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
B_BASIN_GEOMETRY_ONLY_46	46	10	10	0.005453970039964182	0.12372702651148418	False	7	0.024745405302296835	9.206034327650356e-15	165.25773074182737
REMOVE_BONDS	86	10	1	1.310827444207194	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	2	1.0800569537038107	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	3	0.8622090238127003	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	4	0.4384085641229398	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	5	0.3820622247586318	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	6	0.34740678562722355	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	7	0.2361445739656641	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	8	0.13082489272905504	0.12318295594879841	True	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	9	0.10970063180032766	0.12318295594879841	False	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_BONDS	86	10	10	0.0836382985233407	0.12318295594879841	False	8	0.024636591189759683	2.5031345929753245e-14	15.672574255457686
REMOVE_ANGLES	58	10	1	1.4576249007166189	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	2	1.3428074821721634	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	3	1.2616122342481852	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
REMOVE_ANGLES	58	10	4	1.1321078962236482	0.06245163407970557	True	9	0.012490326815941113	1.8772149222093558e-14	25.799534572380047
